,Point-of-Sale_ID,week,Units
0,1,2015-12-28,1027.0
55043,275,2015-12-28,915.0
54842,274,2015-12-28,735.0
54641,273,2015-12-28,1640.0
54440,272,2015-12-28,2437.0
2412,13,2015-12-28,1339.0
54239,271,2015-12-28,883.0
54038,270,2015-12-28,678.0
53837,269,2015-12-28,937.0
53636,268,2015-12-28,1636.0
55244,276,2015-12-28,1419.0
53435,267,2015-12-28,765.0
53033,265,2015-12-28,698.0
52832,264,2015-12-28,699.0
52631,263,2015-12-28,914.0
52430,262,2015-12-28,614.0
52229,261,2015-12-28,650.0
52028,260,2015-12-28,2049.0
2613,14,2015-12-28,853.0
51827,259,2015-12-28,413.0
51626,258,2015-12-28,624.0
53234,266,2015-12-28,772.0
51425,257,2015-12-28,1758.0
55445,277,2015-12-28,1193.0
55847,279,2015-12-28,832.0
59465,297,2015-12-28,1021.0
59264,296,2015-12-28,1180.0
59063,295,2015-12-28,501.0
2010,11,2015-12-28,1149.0
58862,294,2015-12-28,619.0
58661,293,2015-12-28,434.0
58460,292,2015-12-28,3310.0
58259,291,2015-12-28,539.0
58058,290,2015-12-28,569.0
55646,278,2015-12-28,855.0
57857,289,2015-12-28,1269.0
57455,287,2015-12-28,1512.0
57254,286,2015-12-28,961.0
57053,285,2015-12-28,881.0
56852,284,2015-12-28,905.0
2211,12,2015-12-28,920.0
56651,283,2015-12-28,1725.0
56450,282,2015-12-28,2291.0
56249,281,2015-12-28,653.0
56048,280,2015-12-28,2244.0
57656,288,2015-12-28,1361.0
59666,298,2015-12-28,389.0
51224,256,2015-12-28,908.0
50822,254,2015-12-28,1605.0
46199,231,2015-12-28,1085.0
45998,230,2015-12-28,558.0
45797,229,2015-12-28,589.0
45596,228,2015-12-28,584.0
45395,227,2015-12-28,735.0
45194,226,2015-12-28,1096.0
44993,225,2015-12-28,412.0
3216,17,2015-12-28,1731.0
44792,224,2015-12-28,381.0
46400,232,2015-12-28,812.0
44390,222,2015-12-28,690.0
43988,220,2015-12-28,371.0
43787,219,2015-12-28,1078.0
43586,218,2015-12-28,1008.0
43385,217,2015-12-28,920.0
43184,216,2015-12-28,893.0
42983,215,2015-12-28,1517.0
42782,214,2015-12-28,501.0
3417,18,2015-12-28,820.0
42581,213,2015-12-28,688.0
44189,221,2015-12-28,205.0
51023,255,2015-12-28,776.0
46601,233,2015-12-28,780.0
47003,235,2015-12-28,1276.0
50621,253,2015-12-28,337.0
50420,252,2015-12-28,1727.0
50219,251,2015-12-28,1290.0
50018,250,2015-12-28,1315.0
49817,249,2015-12-28,747.0
2814,15,2015-12-28,968.0
49616,248,2015-12-28,613.0
49415,247,2015-12-28,286.0
49214,246,2015-12-28,456.0
46802,234,2015-12-28,457.0
49013,245,2015-12-28,929.0
48611,243,2015-12-28,205.0
48410,242,2015-12-28,791.0
48209,241,2015-12-28,827.0
48008,240,2015-12-28,1293.0
47807,239,2015-12-28,1016.0
47606,238,2015-12-28,1225.0
47405,237,2015-12-28,287.0
3015,16,2015-12-28,1483.0
47204,236,2015-12-28,784.0
48812,244,2015-12-28,593.0
59867,299,2015-12-28,1228.0
60068,300,2015-12-28,480.0
60269,301,2015-12-28,381.0
804,5,2015-12-28,892.0
72932,364,2015-12-28,782.0
72731,363,2015-12-28,578.0
72530,362,2015-12-28,1746.0
72329,361,2015-12-28,1038.0
72128,360,2015-12-28,1796.0
71927,359,2015-12-28,2242.0
71726,358,2015-12-28,1112.0
71525,357,2015-12-28,1158.0
73133,365,2015-12-28,274.0
71324,356,2015-12-28,1786.0
70922,354,2015-12-28,528.0
70721,353,2015-12-28,727.0
1005,6,2015-12-28,726.0
70520,352,2015-12-28,805.0
70319,351,2015-12-28,703.0
70118,350,2015-12-28,721.0
69917,349,2015-12-28,742.0
69716,348,2015-12-28,1737.0
69515,347,2015-12-28,1825.0
71123,355,2015-12-28,1093.0
69314,346,2015-12-28,1083.0
73334,366,2015-12-28,308.0
73736,368,2015-12-28,1063.0
77555,387,2015-12-28,1345.0
77354,386,2015-12-28,565.0
77153,385,2015-12-28,726.0
76952,384,2015-12-28,500.0
76751,383,2015-12-28,2226.0
76550,382,2015-12-28,935.0
76349,381,2015-12-28,639.0
76148,380,2015-12-28,1017.0
75947,379,2015-12-28,765.0
73535,367,2015-12-28,1608.0
75746,378,2015-12-28,692.0
603,4,2015-12-28,1451.0
75344,376,2015-12-28,510.0
75143,375,2015-12-28,276.0
74942,374,2015-12-28,1072.0
74741,373,2015-12-28,274.0
74540,372,2015-12-28,932.0
74339,371,2015-12-28,490.0
74138,370,2015-12-28,419.0
73937,369,2015-12-28,522.0
75545,377,2015-12-28,895.0
69113,345,2015-12-28,1034.0
68912,344,2015-12-28,332.0
68711,343,2015-12-28,998.0
63887,319,2015-12-28,249.0
63686,318,2015-12-28,478.0
1608,9,2015-12-28,821.0
63485,317,2015-12-28,382.0
63284,316,2015-12-28,532.0
63083,315,2015-12-28,426.0
62882,314,2015-12-28,658.0
62681,313,2015-12-28,338.0
62480,312,2015-12-28,572.0
64088,320,2015-12-28,185.0
62279,311,2015-12-28,722.0
61877,309,2015-12-28,295.0
61676,308,2015-12-28,708.0
61475,307,2015-12-28,265.0
1809,10,2015-12-28,430.0
61274,306,2015-12-28,876.0
61073,305,2015-12-28,411.0
60872,304,2015-12-28,848.0
60671,303,2015-12-28,541.0
60470,302,2015-12-28,583.0
62078,310,2015-12-28,300.0
64289,321,2015-12-28,601.0
64490,322,2015-12-28,654.0
64691,323,2015-12-28,1094.0
68510,342,2015-12-28,1153.0
1206,7,2015-12-28,495.0
68309,341,2015-12-28,966.0
68108,340,2015-12-28,653.0
67907,339,2015-12-28,890.0
67706,338,2015-12-28,985.0
67505,337,2015-12-28,511.0
67304,336,2015-12-28,437.0
67103,335,2015-12-28,656.0
66902,334,2015-12-28,1384.0
66701,333,2015-12-28,1887.0
66500,332,2015-12-28,344.0
66299,331,2015-12-28,591.0
66098,330,2015-12-28,532.0
1407,8,2015-12-28,1519.0
65897,329,2015-12-28,1393.0
65696,328,2015-12-28,482.0
65495,327,2015-12-28,643.0
65294,326,2015-12-28,516.0
65093,325,2015-12-28,884.0
64892,324,2015-12-28,962.0
42380,212,2015-12-28,984.0
402,3,2015-12-28,1202.0
42179,211,2015-12-28,646.0
41777,209,2015-12-28,1625.0
19265,97,2015-12-28,406.0
19095,96,2015-12-28,561.0
18894,95,2015-12-28,631.0
18693,94,2015-12-28,333.0
18492,93,2015-12-28,612.0
18291,92,2015-12-28,2153.0
18090,91,2015-12-28,228.0
17889,90,2015-12-28,662.0
17688,89,2015-12-28,791.0
5427,28,2015-12-28,661.0
17487,88,2015-12-28,476.0
17085,86,2015-12-28,865.0
5628,29,2015-12-28,891.0
16884,85,2015-12-28,1387.0
16683,84,2015-12-28,640.0
16482,83,2015-12-28,721.0
16281,82,2015-12-28,621.0
16080,81,2015-12-28,508.0
15879,80,2015-12-28,1216.0
15678,79,2015-12-28,964.0
17286,87,2015-12-28,1234.0
15477,78,2015-12-28,1729.0
19466,98,2015-12-28,602.0
19868,100,2015-12-28,1356.0
